A,B,C
0.240217125942,45.32733,0.31478
2.17564225499,44.51848,0.07224
0.0552224916228,44.32612,0.01430
0.0604432454283,44.69770,0.00526
0.0707385271941,44.30242,0.01505
0.205222857821,44.83574,0.05485
1.02310405814,44.57033,0.17767
0.649839115457,44.30397,0.01228
1.26585074078,44.43193,0.06483
0.636987213481,44.75459,0.12151
0.225056877951,44.69916,0.00716
0.044261724984,44.88584,0.00441
0.232791440342,44.43886,0.04585
,44.10607,0.01557
0.288245632415,44.28278,0.01757
1.55234727321,45.03406,0.09969
0.5239284335,44.28599,0.01597
0.863101775652,44.51935,0.04301
0.133561312347,44.25256,0.10655
0.0708834379645,44.13888,0.00574
0.335052196376,44.97359,0.00946
0.0808115387367,44.90593,0.06272
0.790583529892,45.67979,0.04363
0.504931654832,44.45743,0.15649
1.29405331898,44.54183,0.15627
1.01175509276,44.59501,0.01820
0.35492366331,44.69004,0.12009
0.212886722751,44.78482,0.06524
1.1185624071,45.22008,0.00226
0.269053931993,44.67030,0.03193
0.129243756101,44.23784,0.03453
0.239073472886,44.59427,0.01393
0.0822001844274,44.80879,0.10226
0.665044645566,44.75154,0.03959
0.507966009092,44.08426,0.00873
0.563996503569,44.34647,0.03277
0.163160878731,44.41080,0.01227
2.01600959491,44.44258,0.00593
0.225192700082,44.48394,0.15534
0.472437330133,45.03598,0.02793
0.109112530726,44.61065,0.02132
0.533826592419,44.70652,0.13905
3.39109813584,44.83296,0.01951
0.936754908439,44.32271,0.06382
0.914929903525,44.84746,0.00146
0.189938620992,44.66365,0.03441
1.17552518116,44.76287,0.06689
0.864374154428,45.10199,0.00391
1.51233143734,44.64622,0.00626
0.495328645544,44.87745,0.06418
0.421703240413,44.09679,0.00879
0.256531765324,44.27269,0.00944
1.59761525873,44.44430,0.08075
0.0897329060257,44.93558,0.01528
1.8141092605,44.09816,0.00921
0.884513363004,44.33125,0.02216
0.0877676085772,44.44104,0.01539
0.349549300451,44.33125,0.02216
0.106267496123,44.44104,0.01539
0.297730458193,44.88637,0.11872
0.225297292588,44.30239,0.05533
0.741172868027,44.22117,0.12941
0.269529966619,44.76188,0.11883
0.90608870096,45.09383,0.02369
1.23667345308,44.44021,0.05336
0.259238428962,44.54921,0.06313
0.380197135416,44.65970,0.01427
0.393662105617,44.79900,0.00287
0.683897270303,44.18964,0.16066
0.34612281467,44.25669,0.01856
,44.35819,0.03576
,44.91202,0.08730
,45.05713,0.05654
,44.56043,0.21451
,44.78145,0.09942
,44.77507,0.07369
,44.36424,0.00708
,44.17580,0.04911
,44.40151,0.00523
,44.20654,0.02390
,44.59746,0.00671
,44.17015,0.06091
,44.31297,0.01773
,44.52867,0.01500
,44.68251,0.01940
