A,B,C,D
0.029827175651,7.13514169282,45.32733,0.31478
0.939109391062,41.6139693199,44.51848,0.07224
0.000272716173343,0.0748633893868,44.32612,0.01430
0.000987472349751,1.41766607078,44.69770,0.00526
0.00891768466229,6.58859005111,44.30242,0.01505
0.00105698643531,0.0229237221809,44.83574,0.05485
0.0164019031363,11.7479031323,44.57033,0.17767
0.00398201329877,0.162183918451,44.30397,0.01228
1.62911435303,20.6730091902,44.43193,0.06483
0.858132538096,18.8757366793,44.75459,0.12151
2.07650021317,21.0593016761,44.69916,0.00716
0.000312939637666,1.01719624507,44.88584,0.00441
0.0163411531814,10.0755157746,44.43886,0.04585
0.0187544299042,9.8070420097,44.10607,0.01557
1.25089491397,29.0601175114,44.28278,0.01757
0.273179402696,23.7950530752,45.03406,0.09969
1.31856619959,29.2642819114,44.28599,0.01597
0.0320739654414,15.6105743895,44.51935,0.04301
0.00277687456876,2.10296870818,44.25256,0.10655
0.0011964853944,0.748395997578,44.13888,0.00574
2.68162744351,15.3281290925,44.97359,0.00946
0.00282771670246,2.93261956391,44.90593,0.06272
0.0230866399711,2.34065547524,45.67979,0.04363
0.0505677673367,14.1359528539,44.45743,0.15649
0.328910689487,24.6106051541,44.54183,0.15627
0.00270428487294,4.86685790129,44.59501,0.01820
0.00448390701716,1.65975433935,44.69004,0.12009
,,44.78482,0.06524
0.00985743737103,11.0428453411,45.22008,0.00226
0.0344197595777,15.6625292399,44.67030,0.03193
0.149065272263,14.9837747241,44.23784,0.03453
0.00903660869718,8.1309442771,44.59427,0.01393
0.000534165493275,4.5547800307,44.80879,0.10226
0.00406900411029,3.16674267088,44.75154,0.03959
0.000291573979946,0.313905231052,44.08426,0.00873
0.0140900313471,6.95263437044,44.34647,0.03277
0.00713162510929,2.07219807437,44.41080,0.01227
0.0181436885974,1.88656960554,44.44258,0.00593
0.00141228032656,3.92007644333,44.48394,0.15534
0.0154440052063,1.23421483206,45.03598,0.02793
0.00209034003538,0.305126018479,44.61065,0.02132
0.00115622613428,0.654331096068,44.70652,0.13905
0.000330117175867,0.201865116576,44.83296,0.01951
0.0576317408349,19.1961460283,44.32271,0.06382
0.0216043256307,0.435969088006,44.84746,0.00146
0.00644959381526,0.768404462386,44.66365,0.03441
0.00350108753358,0.192266310708,44.76287,0.06689
0.142767084308,17.4076223087,45.10199,0.00391
0.00189994874114,8.54891590485,44.64622,0.00626
0.00229297525311,0.991195983707,44.87745,0.06418
0.00538568234903,1.85350426931,44.09679,0.00879
0.362143707375,2.90782228629,44.27269,0.00944
0.00200424743998,0.261680341008,44.44430,0.08075
1.86655277119,22.1722756359,44.93558,0.01528
0.218816546144,14.48525186,44.09816,0.00921
0.00089559593864, 0.0956101605044,44.33125,0.02216
0.116556134242,17.0796420446,44.44104,0.01539
2.5033265469,30.5041073475,44.33125,0.02216
0.0600975896852,3.25893088866,44.44104,0.01539
0.0954588993887,18.8340200336,44.88637,0.11872
0.242752487972,24.1992146169,44.30239,0.05533
0.00613868789795,0.906960211532,44.22117,0.12941
0.0265703026134,14.7988302618,44.76188,0.11883
0.371929368057,25.3530822709,45.09383,0.02369
0.0227848189511,5.48704210236,44.44021,0.05336
0.602173092856,0.00186626482061,44.54921,0.06313
0.873827741766,25.5676979117,44.65970,0.01427
0.00264531593057,0.543916069041,44.79900,0.00287
0.03283905959,2.32404524079,44.18964,0.16066
0.200868161965,12.312909334,44.25669,0.01856
0.00204916977577,0.492336192376,44.35819,0.03576
0.754909045741,30.7220062987,44.91202,0.08730
0.0051296533206,1.57438193042,45.05713,0.05654
0.00194085051178,0.179689900124,44.56043,0.21451
0.0409213347173,8.69521165169,44.78145,0.09942
0.72929569294,23.443407774,44.77507,0.07369
3.54963105842,34.2311857925,44.36424,0.00708
0.82742142144,40.1389342109,44.17580,0.04911
0.0160021474106,0.487725787303,44.40151,0.00523
0.00210361849738,3.57197546249,44.20654,0.02390
0.450522885382,21.4984764807,44.59746,0.00671
0.0797507135094,24.066981569,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
