A,B,C
2.25803997131e-32,45.32733,0.31478
1.94612688968e-35,44.51848,0.07224
6.83287127204e-19,44.32612,0.01430
5.09609883794e-18,44.69770,0.00526
2.91318635002e-61,44.30242,0.01505
1.38262757366e-23,44.83574,0.05485
4.37225381236e-22,44.57033,0.17767
2.75091557514e-20,44.30397,0.01228
2.35129573975e-32,44.43193,0.06483
8.77378703721e-29,44.75459,0.12151
2.12238707813e-82,44.69916,0.00716
2.05117804095e-11,44.88584,0.00441
6.99888096678e-26,44.43886,0.04585
6.37964673843e-26,44.10607,0.01557
1.08051952653e-44,44.28278,0.01757
5.41448354691e-62,45.03406,0.09969
3.28895342337e-25,44.28599,0.01597
3.28895342337e-25,44.51935,0.04301
5.51691741448e-29,44.25256,0.10655
7.950287763e-20,44.13888,0.00574
6.71697564241e-41,44.97359,0.00946
5.7244742324,44.90593,0.06272
9.70268680664e-17,45.67979,0.04363
1.26242637205e-27,44.45743,0.15649
,44.54183,0.15627
1.641297799e-23,44.59501,0.01820
8.55374982616e-24,44.69004,0.12009
5.49825152491e-27,44.78482,0.06524
5.93321528073e-45,45.22008,0.00226
3.80280041189e-28,44.67030,0.03193
0.000162475206711,44.23784,0.03453
1.39310586407e-45,44.59427,0.01393
9.1766263242e-46,44.80879,0.10226
7.38254356312e-30,44.75154,0.03959
1.08060058351e-26,44.08426,0.00873
4.57403433442e-37,44.34647,0.03277
5.10703197711e-16,44.41080,0.01227
8.90648677921e-17,44.44258,0.00593
1.49650599858e-24,44.48394,0.15534
1.99948364864e-13,45.03598,0.02793
4.49116826092e-24,44.61065,0.02132
1.4425943927e-33,44.70652,0.13905
1.82579769975e-27,44.83296,0.01951
5.23769736075e-34,44.32271,0.06382
1.29927764322e-26,44.84746,0.00146
5.41751330023e-18,44.66365,0.03441
1.89044353208e-35,44.76287,0.06689
17.1511233701,45.10199,0.00391
4.74894483467e-25,44.64622,0.00626
1.41143230281e-33,44.87745,0.06418
4.67970328332e-37,44.09679,0.00879
7.1787824983e-18,44.27269,0.00944
5.51970208997e-40,44.44430,0.08075
2.69462051562e-29,44.93558,0.01528
3.20639206119e-27,44.09816,0.00921
3.23195159845e-44,44.33125,0.02216
7.78267324353e-31,44.44104,0.01539
3.70863541417e-56,44.33125,0.02216
3.94380418174e-19,44.44104,0.01539
7.94328714539e-59,44.88637,0.11872
1.28308838674e-31,44.30239,0.05533
3.56252309205e-35,44.22117,0.12941
3.25631129088e-43,44.76188,0.11883
3.68601160615e-23,45.09383,0.02369
1.1312438922e-39,44.44021,0.05336
5.5843037164e-21,44.54921,0.06313
5.13065893251e-32,44.65970,0.01427
2.19021291856e-56,44.79900,0.00287
5.5665317925e-40,44.18964,0.16066
1.63608025249e-20,44.25669,0.01856
3.75770917376e-29,44.35819,0.03576
2.16345056143e-16,44.91202,0.08730
2.82486559688e-47,45.05713,0.05654
3.35589393107e-40,44.56043,0.21451
1.19508486474e-21,44.78145,0.09942
4.05913924355e-37,44.77507,0.07369
9.20040512289e-24,44.36424,0.00708
3.07325680325e-41,44.17580,0.04911
9.71451744875e-49,44.40151,0.00523
,44.20654,0.02390
,44.59746,0.00671
,44.17015,0.06091
,44.31297,0.01773
,44.52867,0.01500
,44.68251,0.01940
