A,B,C
2.55929777625e-39,45.32733,0.31478
5.87477095098e-33,44.51848,0.07224
5.37458758361e-14,44.32612,0.01430
3.7400921185e-22,44.69770,0.00526
,44.30242,0.01505
9.75113128089e-15,44.83574,0.05485
1.89051996553e-20,44.57033,0.17767
9.31754560071e-53,44.30397,0.01228
1.8241362868e-37,44.43193,0.06483
0.00560194387781,44.75459,0.12151
4.78117825759e-46,44.69916,0.00716
3.57502507364e-13,44.88584,0.00441
7.18637415011e-49,44.43886,0.04585
1.29400060577e-41,44.10607,0.01557
4.03077296096e-15,44.28278,0.01757
1.85934609405e-39,45.03406,0.09969
3.25341446039e-13,44.28599,0.01597
4.93726346448e-41,44.51935,0.04301
2.39672496766e-40,44.25256,0.10655
2.45752000571e-19,44.13888,0.00574
1.29591929525e-48,44.97359,0.00946
4.36945030639e-23,44.90593,0.06272
,45.67979,0.04363
4.11228689182e-29,44.45743,0.15649
6.36283432219e-52,44.54183,0.15627
,44.59501,0.01820
2.18282609819e-06,44.69004,0.12009
2.09067054393e-19,44.78482,0.06524
1.39613002534e-26,45.22008,0.00226
8.14623319898e-27,44.67030,0.03193
4.5408183047e-26,44.23784,0.03453
3.84768226603e-35,44.59427,0.01393
4.36722989497e-17,44.80879,0.10226
,44.75154,0.03959
7.43461815937e-14,44.08426,0.00873
2.71186943282,44.34647,0.03277
7.27940458564e-36,44.41080,0.01227
,44.44258,0.00593
1.23965775558e-42,44.48394,0.15534
4.18724149126e-11,45.03598,0.02793
1.3620210946e-28,44.61065,0.02132
5.23782930997e-17,44.70652,0.13905
3.39507878446e-64,44.83296,0.01951
1.5191423754e-29,44.32271,0.06382
7.44687355745e-36,44.84746,0.00146
8.50283575453e-15,44.66365,0.03441
2.79350141055e-55,44.76287,0.06689
2.97336379983e-28,45.10199,0.00391
1.69067133528e-14,44.64622,0.00626
5.17509371362e-19,44.87745,0.06418
4.11016327312e-17,44.09679,0.00879
3.01874751688e-35,44.27269,0.00944
7.87474175372e-42,44.44430,0.08075
2.37089724699e-16,44.93558,0.01528
3.75179704831e-53,44.09816,0.00921
1.84958851886e-18,44.33125,0.02216
2.73930030355e-34,44.44104,0.01539
6.19757971675e-26,44.33125,0.02216
1.69302655064e-34,44.44104,0.01539
2.53381132187e-17,44.88637,0.11872
3.50962392629e-36,44.30239,0.05533
4.5170037039e-56,44.22117,0.12941
2.64129659243e-50,44.76188,0.11883
2.30882432091e-25,45.09383,0.02369
,44.44021,0.05336
6.37662630044e-13,44.54921,0.06313
7.56295040626e-30,44.65970,0.01427
1.13418933635e-17,44.79900,0.00287
1.09247287802e-46,44.18964,0.16066
3.50844723034e-46,44.25669,0.01856
4.42441395454e-40,44.35819,0.03576
7.02525950042e-29,44.91202,0.08730
2.52977089551e-38,45.05713,0.05654
5.97127578131e-22,44.56043,0.21451
1.04821049647e-42,44.78145,0.09942
27293029248.2,44.77507,0.07369
9.3650947635e-46,44.36424,0.00708
1.88169169405e-38,44.17580,0.04911
6.2950427695e-41,44.40151,0.00523
3.75248354618e-32,44.20654,0.02390
1.36204652175e-06,44.59746,0.00671
,44.17015,0.06091
,44.31297,0.01773
,44.52867,0.01500
,44.68251,0.01940
