A,B,C
1.3214203225e-47,45.32733,0.31478
3.11986896185e-75,44.51848,0.07224
1.56920545244e-16,44.32612,0.01430
1.87378394515e-23,44.69770,0.00526
3.55659168647e-20,44.30242,0.01505
5.67079437e-25,44.83574,0.05485
0.00128645258971,44.57033,0.17767
3.32486437988e-16,44.30397,0.01228
1.08763298195e-12,44.43193,0.06483
9.80904127704e-09,44.75459,0.12151
6.32119457193e-28,44.69916,0.00716
1.92090965803e-36,44.88584,0.00441
9.69439844557e-58,44.43886,0.04585
1.33706153251e-31,44.10607,0.01557
1.50718733444e-14,44.28278,0.01757
9.30102292916e-49,45.03406,0.09969
3.53131279859e-20,44.28599,0.01597
1.75500767908e-14,44.51935,0.04301
5.15859534253e-25,44.25256,0.10655
1.31191981293e-39,44.13888,0.00574
1.07336704553e-24,44.97359,0.00946
2.55289065798e-25,44.90593,0.06272
6.11463847369e-35,45.67979,0.04363
1.46918017149e-20,44.45743,0.15649
2.98056518316e-44,44.54183,0.15627
4.77429131077e-05,44.59501,0.01820
2.23124462831e-19,44.69004,0.12009
1.4912440556e-35,44.78482,0.06524
4.78397857526e-13,45.22008,0.00226
2.41371771133e-52,44.67030,0.03193
1.38251410121e-19,44.23784,0.03453
1.04242778674e-25,44.59427,0.01393
3.44586781194e-33,44.80879,0.10226
1.61696707484e-34,44.75154,0.03959
1.42508433208e-06,44.08426,0.00873
2.29542798537e-41,44.34647,0.03277
,44.41080,0.01227
4.24304198106e-40,44.44258,0.00593
8.00315201143e-33,44.48394,0.15534
2.71011903763e-32,45.03598,0.02793
1.49986020649e-40,44.61065,0.02132
7.97448624644e-21,44.70652,0.13905
3.96793006746e-48,44.83296,0.01951
2.06277761515e-24,44.32271,0.06382
3.36593491742e-20,44.84746,0.00146
1.92402860542e-19,44.66365,0.03441
1.77768536854e-18,44.76287,0.06689
3.03642752588e-17,45.10199,0.00391
8.4276497635e-39,44.64622,0.00626
7.50881397777e-27,44.87745,0.06418
5.86049476319e-19,44.09679,0.00879
1.53453613548e-19,44.27269,0.00944
1.84173897275e-07,44.44430,0.08075
7.43762515364e-35,44.93558,0.01528
2.67352789545e-07,44.09816,0.00921
1.36457279153e-29,44.33125,0.02216
2.25623885591e-52,44.44104,0.01539
2.38064152563e-16,44.33125,0.02216
7.90229987685e-20,44.44104,0.01539
6.04574713142e-35,44.88637,0.11872
3.12988736685e-49,44.30239,0.05533
2.30478547227e-26,44.22117,0.12941
8.93715184455e-16,44.76188,0.11883
9.48548988424e-20,45.09383,0.02369
2.69301330322e-47,44.44021,0.05336
6.54860788621e-32,44.54921,0.06313
4.70307643961e-46,44.65970,0.01427
5.11712041603e-22,44.79900,0.00287
7.31957540797e-41,44.18964,0.16066
3.98116558473e-21,44.25669,0.01856
2.38732300029e-28,44.35819,0.03576
0.0660027434435,44.91202,0.08730
2.18637582684e-31,45.05713,0.05654
1.07840486735e-64,44.56043,0.21451
4.85870885212e-27,44.78145,0.09942
5.81838616691e-25,44.77507,0.07369
5.86015612302e-47,44.36424,0.00708
9.05662271243e-53,44.17580,0.04911
1.30238936375e-35,44.40151,0.00523
1.20860011648e-46,44.20654,0.02390
5.28820152144e-24,44.59746,0.00671
9.50421425762e-45,44.17015,0.06091
1.66659064523e-33,44.31297,0.01773
5.76573091728e-14,44.52867,0.01500
,44.68251,0.01940
