A,B,C,D
5.75916074762e-26,4.93680061918e+36,45.32733,0.31478
1.40470717218e-33,4.98463926301e+123,44.51848,0.07224
7.38584100393e-37,1.14999774585e+99,44.32612,0.01430
7.38584100393e-37,1.14999774585e+99,44.69770,0.00526
2.26583738074e-24,7.12460301259e+86,44.30242,0.01505
2.51121132555e-10,8.89613900838e+111,44.83574,0.05485
2.04022205645e-28,1.12370034835e+64,44.57033,0.17767
9.67520369292e-28,4.90808708792e+78,44.30397,0.01228
2.79586428318e-32,2.01625567557e+84,44.43193,0.06483
7.9872011432e-39,8.88325392807e+105,44.75459,0.12151
2.65784540763e-58,2.2991517305e+68,44.69916,0.00716
3.8530615946e-43,2.45266191184e+112,44.88584,0.00441
2.70835267832e-17,2.70053637152e+56,44.43886,0.04585
1.89761958951e-15,2.48715534371e+100,44.10607,0.01557
2.33938138357e-36,6.84861117205e+82,44.28278,0.01757
1.77179782676e-16,3.4844806134e+110,45.03406,0.09969
1.91573207388e-10,2.46971683504e+65,44.28599,0.01597
2.52250022665e-12,2.32896000875e+51,44.51935,0.04301
1.47804309411e-35,4.00764370853e+40,44.25256,0.10655
8.76154917002e-42,2.38697466081e+36,44.13888,0.00574
,,44.97359,0.00946
3.72772099238e-33,1.56458044035e+103,44.90593,0.06272
1.54940222541e-29,2.55979122115e+68,45.67979,0.04363
4.28220305794e-27,3.80442249242e+26,44.45743,0.15649
4.78444188148e-34,1.12578293314e+151,44.54183,0.15627
2.60924992122e-30,4.67087248248e+84,44.59501,0.01820
9.14454654297e-33,2.55661126218e+101,44.69004,0.12009
1.42720168083e-17,,44.78482,0.06524
3.64472801225e-25,9.12355720294e+62,45.22008,0.00226
1.36222186563e-15,5.39688065553e+74,44.67030,0.03193
1.61491258581e-38,2.36425172777e+66,44.23784,0.03453
2.32525062271e-26,7.15684626531e+82,44.59427,0.01393
1.47819780505e-33,1.14132691096e+99,44.80879,0.10226
4.46538155933e-13,1.89151082558e+145,44.75154,0.03959
3.97998699307e-29,98088592396.3,44.08426,0.00873
2.15843141532e-25,1.88528268332e+89,44.34647,0.03277
1.29821812353e-19,1.41281312523e+57,44.41080,0.01227
2.48815169658e-18,4.03986011179e+98,44.44258,0.00593
9.12386270963e-17,2.13893517191e+75,44.48394,0.15534
2.30605797456e-29,5.32567906972e+38,45.03598,0.02793
3.14269243989e-32,8.43328450126e+59,44.61065,0.02132
4.58965525279e-41,7.58053550322e+146,44.70652,0.13905
4.58965525279e-41,7.58053550322e+146,44.83296,0.01951
6.24661297133e-23,2.84600081309e+127,44.32271,0.06382
3.08710390419e-59,7.89534533169e+88,44.84746,0.00146
9.58451814744e-25,1.00578864019e+57,44.66365,0.03441
9.12386270963e-17,2.13893517191e+75,44.76287,0.06689
,,45.10199,0.00391
1.12194890767e-47,54722.7143979,44.64622,0.00626
6.52278502496e-30,7.98741292727e+90,44.87745,0.06418
2.5941736346e-30,2.01278989847e+133,44.09679,0.00879
1.44101087233e-24,9.72182536145e+91,44.27269,0.00944
9.10284642556e-31,1.78430251519e+125,44.44430,0.08075
9.52431788618e-24,8.23183237724e+83,44.93558,0.01528
5.43491846446e-30,3.48828724171e+75,44.09816,0.00921
9.18155141158e-24,3.32680643837e+105,44.33125,0.02216
6.23995735192e-25,5.00247256423e+148,44.44104,0.01539
3.51702326359e-14,2.25850318354e+53,44.33125,0.02216
1.05557106032e-34,7.11768866339e+75,44.44104,0.01539
4.15226034299e-19,1.44399524704e+46,44.88637,0.11872
2.91385864268e-10,5.150898678e+94,44.30239,0.05533
3.05217323027e-38,1.9012075913e+50,44.22117,0.12941
3.95165845583e-37,9.65780662869e+41,44.76188,0.11883
9.56527290871e-34,5.33134797788e+71,45.09383,0.02369
1.38558050353e-17,4.68012341189e+115,44.44021,0.05336
1.72428832716e-29,6.59653834267e+18,44.54921,0.06313
8.71162286404e-21,1.53945777379e+65,44.65970,0.01427
1.37396051599e-53,6.76905452873e+147,44.79900,0.00287
3.70446193793e-20,1.61637930237e+32,44.18964,0.16066
4.605639852e-50,2.13411362063e+75,44.25669,0.01856
,,44.35819,0.03576
,,44.91202,0.08730
,,45.05713,0.05654
,,44.56043,0.21451
,,44.78145,0.09942
,,44.77507,0.07369
,,44.36424,0.00708
,,44.17580,0.04911
,,44.40151,0.00523
,,44.20654,0.02390
,,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
