A,B,C
7.62650836758e-51,45.32733,0.31478
7.1574083909e-20,44.51848,0.07224
2.56671441737,44.32612,0.01430
0.0168552639651,44.69770,0.00526
2.08156145475e-31,44.30242,0.01505
1.20105613021e-24,44.83574,0.05485
8.22660519808e-42,44.57033,0.17767
7.82458459033e-19,44.30397,0.01228
1.23620425137e-10,44.43193,0.06483
9.91277895875e-46,44.75459,0.12151
3.84590575204e-56,44.69916,0.00716
9.02964546126e-26,44.88584,0.00441
4.29233080765e-14,44.43886,0.04585
1.42159818243e-30,44.10607,0.01557
9.80477965484e-36,44.28278,0.01757
5.13334497376e-18,45.03406,0.09969
1.21056214998e-23,44.28599,0.01597
1.9845465302e-44,44.51935,0.04301
1.57661474791e-20,44.25256,0.10655
1.70668449661e-30,44.13888,0.00574
7.60627629747e-13,44.97359,0.00946
1.88887127876e-42,44.90593,0.06272
1.16236232608e-07,45.67979,0.04363
1.26846111361e-14,44.45743,0.15649
3.24050600356e-43,44.54183,0.15627
2.58657207761e-32,44.59501,0.01820
2.70746913138e-10,44.69004,0.12009
3.48145965593e-43,44.78482,0.06524
6.54706953707e-15,45.22008,0.00226
1.95781481293e-39,44.67030,0.03193
1.10759691807e-42,44.23784,0.03453
0.378225311075,44.59427,0.01393
1.22646140957e-24,44.80879,0.10226
3.81701047241e-22,44.75154,0.03959
4.26993202296e-21,44.08426,0.00873
,44.34647,0.03277
3.64097232132e-40,44.41080,0.01227
6.91902613255e-35,44.44258,0.00593
4.64037850604e-09,44.48394,0.15534
3.9464947885,45.03598,0.02793
3.57159585416e-44,44.61065,0.02132
3.22195093099e-31,44.70652,0.13905
4.51075045557e-22,44.83296,0.01951
7.68947335239e-24,44.32271,0.06382
1.20368209997e-14,44.84746,0.00146
8.54135230304e-31,44.66365,0.03441
3.35489135933e-45,44.76287,0.06689
1.79231252272e-29,45.10199,0.00391
1.01728884696e-29,44.64622,0.00626
1.57768007441e-34,44.87745,0.06418
2.29730726911e-37,44.09679,0.00879
2.21862097595e-23,44.27269,0.00944
5.21866174954e-17,44.44430,0.08075
5.21943169115e-24,44.93558,0.01528
9.52943085026e-32,44.09816,0.00921
4.24351384563e-28,44.33125,0.02216
1.42058678743e-29,44.44104,0.01539
1.97913597137e-40,44.33125,0.02216
1.13621788728e-58,44.44104,0.01539
4.12861940241e-13,44.88637,0.11872
1.00294635287e-27,44.30239,0.05533
8.50693275308e-16,44.22117,0.12941
1.92547705578e-28,44.76188,0.11883
1.45226192425e-23,45.09383,0.02369
5.26712307657e-23,44.44021,0.05336
3.55356440208e-38,44.54921,0.06313
2.01892107179e-31,44.65970,0.01427
1.00605157541e-33,44.79900,0.00287
1.94354844339e-33,44.18964,0.16066
1.9859313684e-29,44.25669,0.01856
1.09696010647e-36,44.35819,0.03576
9.86809044971e-29,44.91202,0.08730
2.88658433113e-21,45.05713,0.05654
5.4179491314e-49,44.56043,0.21451
4.38475454611e-46,44.78145,0.09942
1.78981978758e-13,44.77507,0.07369
0.0149072253189,44.36424,0.00708
,44.17580,0.04911
,44.40151,0.00523
,44.20654,0.02390
,44.59746,0.00671
,44.17015,0.06091
,44.31297,0.01773
,44.52867,0.01500
,44.68251,0.01940
