A,B,C,D
0.0135265663589,0.0086608696291,45.32733,0.31478
0.0176993342442,0.0097977515707,44.51848,0.07224
0.24305011435,0.294363281217,44.32612,0.01430
0.0161395311429,0.0234484628302,44.69770,0.00526
0.027365656821,0.0141485265761,44.30242,0.01505
0.142690771856,0.147907672424,44.83574,0.05485
0.0389197850247,0.0259204591541,44.57033,0.17767
0.0326035829961,0.0326392813922,44.30397,0.01228
0.0218306812524,0.0112987861679,44.43193,0.06483
0.00717020712306,0.00356994743576,44.75459,0.12151
0.0463322047042,0.0292085880604,44.69916,0.00716
0.019183450612,0.0161687601619,44.88584,0.00441
0.0467726529155,0.0615801002927,44.43886,0.04585
0.0264834100711,0.0216879550287,44.10607,0.01557
0.0118483348493,0.00559055888857,44.28278,0.01757
0.0132846583346,0.0103325730291,45.03406,0.09969
0.0329347928549,0.0179111253509,44.28599,0.01597
0.019327901857,0.0264666456476,44.51935,0.04301
0.0419468493707,0.0273436543888,44.25256,0.10655
0.0105460587646,0.0111576436469,44.13888,0.00574
0.00946358543643,0.0099224259849,44.97359,0.00946
0.0274497617563,0.0353691985045,44.90593,0.06272
0.0215834764764,0.0237010765339,45.67979,0.04363
0.0321107213939,0.0211521887474,44.45743,0.15649
0.111889175857,0.0229494889606,44.54183,0.15627
0.0349475872337,0.0386903899071,44.59501,0.01820
0.00860176447331,0.00608522683878,44.69004,0.12009
0.0569059656679,0.0347599741287,44.78482,0.06524
0.0128313622492,0.011219691771,45.22008,0.00226
0.0114194319399,0.00874610058807,44.67030,0.03193
0.0116139195652,0.00657175099372,44.23784,0.03453
0.0105722473419,0.00677580542935,44.59427,0.01393
0.0165894685291,0.0117804192797,44.80879,0.10226
0.0134336051982,0.0179767407994,44.75154,0.03959
0.00702751202681,0.0052672061263,44.08426,0.00873
0.016431512774,0.0145201951506,44.34647,0.03277
0.00867293396628,0.00620658056514,44.41080,0.01227
0.0577577729822,0.0675100899746,44.44258,0.00593
0.0216993687506,0.0268495303765,44.48394,0.15534
0.0480085850889,0.0563060268854,45.03598,0.02793
0.0121172185305,0.00968222435556,44.61065,0.02132
0.0254465395293,0.0277639541462,44.70652,0.13905
0.0585976863979,0.0586153798986,44.83296,0.01951
0.0367322644408,0.0447032234168,44.32271,0.06382
0.0443300012371,0.0391078212367,44.84746,0.00146
0.0791949604063,0.109418459643,44.66365,0.03441
0.0214294744144,0.0259688158255,44.76287,0.06689
0.0351269480783,0.0329641989639,45.10199,0.00391
0.0110846245875,0.00489398578786,44.64622,0.00626
0.0930625531725,0.0946913133946,44.87745,0.06418
0.0619898460299,0.0770186901023,44.09679,0.00879
0.0480205568863,0.062353105066,44.27269,0.00944
0.112449881913,0.0688706969655,44.44430,0.08075
0.0280587237642,0.0466057593192,44.93558,0.01528
0.0536895314328,0.0428303677676,44.09816,0.00921
0.0795567811441,0.0906480523147,44.33125,0.02216
0.143319127542,0.071517383448,44.44104,0.01539
0.0174324816377,0.0104956067893,44.33125,0.02216
0.00755914775713,0.00613922882802,44.44104,0.01539
0.0332395500378,0.0294225717763,44.88637,0.11872
0.00956033470795,0.00610977595359,44.30239,0.05533
0.0175606054267,0.0204832671825,44.22117,0.12941
0.0103933625553,0.00784563274754,44.76188,0.11883
0.00969099784011,0.00611873127899,45.09383,0.02369
0.0354142338606,0.0535436732431,44.44021,0.05336
0.0336482772828,0.0261218911207,44.54921,0.06313
0.0293256690715,0.0368829545919,44.65970,0.01427
0.0295713052408,0.0183503641308,44.79900,0.00287
0.0230776149138,0.0227904167553,44.18964,0.16066
0.0448759313152,0.0527895937598,44.25669,0.01856
0.0260117985338,0.0240109280855,44.35819,0.03576
0.0292917377904,0.0390548945869,44.91202,0.08730
0.15246157216,0.15506982401,45.05713,0.05654
0.037422114676,0.0228495310791,44.56043,0.21451
0.0438628887118,0.0329529116842,44.78145,0.09942
0.0245173171879,0.0124656791831,44.77507,0.07369
0.106895419946,0.0917794650003,44.36424,0.00708
0.0181959998928,0.0162658557374,44.17580,0.04911
0.0317595181465,0.0432040128373,44.40151,0.00523
0.0383020236223,0.025454690358,44.20654,0.02390
0.00895953530121,0.0117955923888,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
