A,B,C,D
0.00640178219214,0.00409984241257,45.32733,0.31478
0.0158171835304,0.00912897866779,44.51848,0.07224
0.221103491588,0.283364977801,44.32612,0.01430
0.00872595400327,0.00875129001947,44.69770,0.00526
0.012006886515,0.00748628577429,44.30242,0.01505
0.18462710982,0.272375182643,44.83574,0.05485
0.0282425517714,0.0379130091321,44.57033,0.17767
0.0206013968071,0.0242313875669,44.30397,0.01228
0.0142048053089,0.00705816950057,44.43193,0.06483
0.00387565604931,0.00335670160345,44.75459,0.12151
0.0114919625001,0.00555007179327,44.69916,0.00716
0.011641760222,0.0124071183761,44.88584,0.00441
0.0277657178058,0.0397389706538,44.43886,0.04585
0.0177236513124,0.0158192044175,44.10607,0.01557
0.0108169797322,0.00561328974291,44.28278,0.01757
0.0136209388323,0.0130310050115,45.03406,0.09969
0.0150321792337,0.0134571884932,44.28599,0.01597
0.0130962068864,0.01652030997,44.51935,0.04301
0.0610850361676,0.0738462415678,44.25256,0.10655
0.00764368616774,0.0104558547831,44.13888,0.00574
0.0155925022691,0.0209718126447,44.97359,0.00946
0.0155261276621,0.0234675016724,44.90593,0.06272
0.00923014426422,0.00607788130775,45.67979,0.04363
0.0167304683153,0.0215193351161,44.45743,0.15649
0.0155096675574,0.0191355970456,44.54183,0.15627
0.0120823982937,0.00611140616061,44.59501,0.01820
0.0113781742751,0.0104221010283,44.69004,0.12009
0.00759053778702,0.0250143684524,44.78482,0.06524
0.0276025115539,0.0270429246155,45.22008,0.00226
0.00672875535898,0.00510768590433,44.67030,0.03193
0.00812148866592,0.00466023963535,44.23784,0.03453
0.0065872488568,0.0111622815493,44.59427,0.01393
0.0104057884579,0.0117845461552,44.80879,0.10226
0.0162842437054,0.0276716474209,44.75154,0.03959
0.00537582529301,0.004343310642,44.08426,0.00873
0.00746446718142,0.00767645186644,44.34647,0.03277
0.00345863515676,0.00244472216604,44.41080,0.01227
0.00857796470262,0.00826024502822,44.44258,0.00593
0.00708638686728,0.00488521481084,44.48394,0.15534
0.0312732778748,0.0431410959184,45.03598,0.02793
0.0196476632208,0.0251345130438,44.61065,0.02132
0.0209599638555,0.0262889513347,44.70652,0.13905
0.0932642817587,0.0980487652403,44.83296,0.01951
0.002800250423,0.00368391222273,44.32271,0.06382
0.0457152883898,0.0725578403878,44.84746,0.00146
0.0717196624417,0.0901196108979,44.66365,0.03441
0.0220881940252,0.0134296038227,44.76287,0.06689
0.0221597529262,0.00936278653271,45.10199,0.00391
0.0378585287425,0.0514795342514,44.64622,0.00626
0.00829863489976,0.0126631221049,44.87745,0.06418
0.0303017660899,0.0300668622262,44.09679,0.00879
0.0106053266911,0.00457327461121,44.27269,0.00944
0.0291323637876,0.0137356628319,44.44430,0.08075
0.0449678013167,0.0636952897222,44.93558,0.01528
0.0138197571328,0.00762383134739,44.09816,0.00921
0.0615374683673,0.0473732740906,44.33125,0.02216
0.0240061101028,0.0312337579344,44.44104,0.01539
0.0730758721636,0.0872677303138,44.33125,0.02216
0.0392523002853,0.0262219925136,44.44104,0.01539
0.102007430252,0.0894271832099,44.88637,0.11872
0.0160152059795,0.0220856298701,44.30239,0.05533
0.00616590050561,0.00505720431739,44.22117,0.12941
0.023553015726,0.0356371088616,44.76188,0.11883
0.00582096510254,0.00507041957643,45.09383,0.02369
0.0130531384624,0.0160221332665,44.44021,0.05336
0.00445049698154,0.00432966093257,44.54921,0.06313
0.0113250631093,0.0122171682853,44.65970,0.01427
0.0131161105929,0.00897223400291,44.79900,0.00287
0.0161449473661,0.00931067767344,44.18964,0.16066
0.0206247886954,0.0179050575991,44.25669,0.01856
0.0195708935664,0.0191574079172,44.35819,0.03576
0.010585421104,0.00761105940972,44.91202,0.08730
0.0415979557683,0.0534811758457,45.05713,0.05654
0.0209506970172,0.0192235712378,44.56043,0.21451
0.0159269107525,0.0174048129298,44.78145,0.09942
0.146826248379,0.173100077659,44.77507,0.07369
0.041325239178,0.0597763590935,44.36424,0.00708
0.0151797121187,0.0154050005599,44.17580,0.04911
0.0135861198193,0.00789580589596,44.40151,0.00523
0.071000304307,0.105261902719,44.20654,0.02390
0.0176093551105,0.0215471159565,44.59746,0.00671
0.0158263793915,0.00826095677279,44.17015,0.06091
0.0306911028853,0.0182985258694,44.31297,0.01773
0.00574003318697,0.00406334544928,44.52867,0.01500
,,44.68251,0.01940
