A,B,C,D
0.0112963624337,0.0118609238811,45.32733,0.31478
0.0224748912666,0.0128129829111,44.51848,0.07224
0.206401389576,0.269515334819,44.32612,0.01430
0.0137417088367,0.017775660213,44.69770,0.00526
0.0320520152581,0.0412311923529,44.30242,0.01505
0.253407239354,0.31059143936,44.83574,0.05485
0.0468873175417,0.0447543036375,44.57033,0.17767
0.0222616215445,0.0185867525542,44.30397,0.01228
0.0194924740526,0.0117853104435,44.43193,0.06483
0.00850955625864,0.00481842914605,44.75459,0.12151
0.0267672826542,0.0148235133761,44.69916,0.00716
0.0174291725695,0.0293379819175,44.88584,0.00441
0.0346284500808,0.0422533194676,44.43886,0.04585
0.0215284944274,0.0205393397606,44.10607,0.01557
0.0118022858453,0.0176258145139,44.28278,0.01757
0.0105561742012,0.0100346499119,45.03406,0.09969
0.0225346542715,0.0131572184487,44.28599,0.01597
0.0128293691048,0.0170902883533,44.51935,0.04301
0.0557116304641,0.0617822933913,44.25256,0.10655
0.0120554507216,0.0177687657116,44.13888,0.00574
0.0084802129428,0.0059155012549,44.97359,0.00946
0.0187104617006,0.0266400114589,44.90593,0.06272
 0.0187104617006,0.0266400114589,45.67979,0.04363
0.00651682724282,0.006273724215,44.45743,0.15649
0.023465251983,0.0245793775897,44.54183,0.15627
0.0201992147893,0.0168931833309,44.59501,0.01820
0.0114208143833,0.0123710539809,44.69004,0.12009
0.0188484923687,0.026580693151,44.78482,0.06524
0.009386021022,0.00404264795658,45.22008,0.00226
0.0622280490561,0.0784669971401,44.67030,0.03193
0.00837708522646,0.0114125940542,44.23784,0.03453
0.0132538635995,0.0107102152784,44.59427,0.01393
0.00707665211383,0.0101545683189,44.80879,0.10226
0.0133624105466,0.0159133036428,44.75154,0.03959
0.0152428660743,0.0148741724623,44.08426,0.00873
0.00881395965686,0.0143775194427,44.34647,0.03277
0.00757318006073,0.0100158851949,44.41080,0.01227
0.00552941998927,0.00520350633199,44.44258,0.00593
0.00978648255959,0.00917954043817,44.48394,0.15534
0.00677284668435,0.00871571312166,45.03598,0.02793
0.050359740082,0.058355285105,44.61065,0.02132
0.032558007415,0.0404393033421,44.70652,0.13905
0.0327105985363,0.0475697608545,44.83296,0.01951
0.135050813337,0.149363815765,44.32271,0.06382
0.00495537058676,0.0058370472113,44.84746,0.00146
0.0367823988982,0.0437704361511,44.66365,0.03441
0.108443177677,0.123709529203,44.76287,0.06689
0.0341259195888,0.0407300147847,45.10199,0.00391
0.0286752342963,0.0261222251961,44.64622,0.00626
0.055650488304,0.0671419188554,44.87745,0.06418
0.0127457578439,0.0242834596286,44.09679,0.00879
0.0417824919177,0.0458174618756,44.27269,0.00944
0.0119001768932,0.00539172634547,44.44430,0.08075
0.0320784776059,0.0523631000318,44.93558,0.01528
0.0518253924898,0.0628130126563,44.09816,0.00921
0.0273124209774,0.0174621798187,44.33125,0.02216
0.102248343798,0.0670299121938,44.44104,0.01539
0.0387519643596,0.0497194683358,44.33125,0.02216
0.0293932584087,0.0242730053463,44.44104,0.01539
0.0519773026261,0.0236989665937,44.88637,0.11872
0.178184581231,0.157799036948,44.30239,0.05533
0.0152882564493,0.0199172095266,44.22117,0.12941
0.00528241351953,0.00430751195254,44.76188,0.11883
0.0324114272198,0.03639594801,45.09383,0.02369
0.00815094794316,0.00814165145936,44.44021,0.05336
0.0121496024309,0.0124950736685,44.54921,0.06313
0.0055133027439,0.00437529921488,44.65970,0.01427
0.00930575894395,0.00801062693592,44.79900,0.00287
0.0273132323034,0.0442803989271,44.18964,0.16066
0.0295333699507,0.0170898130581,44.25669,0.01856
0.03051134198,0.0364543151742,44.35819,0.03576
0.0236186392106,0.0215954147251,44.91202,0.08730
0.0251036111008,0.0127928583449,45.05713,0.05654
0.0436955804974,0.0500042258015,44.56043,0.21451
0.0216001536214,0.0141755818934,44.78145,0.09942
0.016528629067,0.0240937596798,44.77507,0.07369
0.190892179084,0.217516914733,44.36424,0.00708
0.0386302974558,0.0388730134966,44.17580,0.04911
0.0391119329451,0.0237530469414,44.40151,0.00523
0.0183847556995,0.00978943768004,44.20654,0.02390
0.106862038773,0.0969572001397,44.59746,0.00671
0.017548210703,0.0184141583959,44.17015,0.06091
0.0285461503138,0.0349907277292,44.31297,0.01773
0.0456485083228,0.0288550315314,44.52867,0.01500
0.00836898889042,0.00779248502587,44.68251,0.01940
