A,B,C,D
0.0359107940642,0.0455382861192,45.32733,0.31478
0.0482230158145,0.0395687504013,44.51848,0.07224
0.404977353491,0.606288569127,44.32612,0.01430
0.0251068232939,0.0334397092436,44.69770,0.00526
0.0890014765539,0.134068661981,44.30242,0.01505
0.242631053927,0.280949745754,44.83574,0.05485
0.106573803141,0.0807051090732,44.57033,0.17767
0.0513935059997,0.0376459864635,44.30397,0.01228
0.0296868582559,0.0203217846244,44.43193,0.06483
0.0117392831605,0.00850646263191,44.75459,0.12151
0.0326707949887,0.0536035156343,44.69916,0.00716
0.0376400137764,0.0670845196113,44.88584,0.00441
0.0995614709784,0.102050518299,44.43886,0.04585
0.02632832122,0.0140094081135,44.10607,0.01557
0.0224374606578,0.0243255711046,44.28278,0.01757
0.0405070735306,0.0340889664174,45.03406,0.09969
0.0311942569966,0.0417499436301,44.28599,0.01597
0.058584521809,0.0583335440671,44.51935,0.04301
0.0325523652015,0.0492025997075,44.25256,0.10655
0.0271537087905,0.0318625140569,44.13888,0.00574
0.0375471802525,0.0555182078775,44.97359,0.00946
0.0217515947434,0.0290799241418,44.90593,0.06272
0.119432336316,0.121535904394,45.67979,0.04363
0.0200149052398,0.0242927729341,44.45743,0.15649
0.0244019553463,0.0195588473996,44.54183,0.15627
0.0172108766886,0.0158275126545,44.59501,0.01820
0.0213605549121,0.0275986819638,44.69004,0.12009
0.0302280663971,0.028238413769,44.78482,0.06524
0.0139054331727,0.0143332777548,45.22008,0.00226
0.0249835719827,0.0250460427157,44.67030,0.03193
0.0157201347853,0.0177453252813,44.23784,0.03453
0.0432272725309,0.0528792058546,44.59427,0.01393
0.0761827623297,0.131673830733,44.80879,0.10226
0.0591288185966,0.0510434577482,44.75154,0.03959
0.208180372953,0.2840568071,44.08426,0.00873
0.0687098729719,0.0938797367247,44.34647,0.03277
0.0695619975993,0.0777589195925,44.41080,0.01227
0.09478591388,0.0744623485476,44.44258,0.00593
0.0193727214212,0.0196318999405,44.48394,0.15534
0.0815324483085,0.0954652813107,45.03598,0.02793
0.0113917702392,0.00516708854625,44.61065,0.02132
0.0885346782132,0.0943209744536,44.70652,0.13905
0.043876529931,0.0601937727253,44.83296,0.01951
0.177188481197,0.126229738266,44.32271,0.06382
0.0290804408695,0.0344934268672,44.84746,0.00146
0.0594673136166,0.0721284544187,44.66365,0.03441
0.105228323682,0.110284987858,44.76287,0.06689
0.266259757099,0.252987424801,45.10199,0.00391
0.0324871916083,0.035796508039,44.64622,0.00626
0.0137406197815,0.0177408572612,44.87745,0.06418
0.0232045160552,0.039560080273,44.09679,0.00879
0.0114533721929,0.00813212529988,44.27269,0.00944
0.0249534897401,0.0237234030112,44.44430,0.08075
0.0532835574372,0.0775953227033,44.93558,0.01528
0.0763952878966,0.0587590544299,44.09816,0.00921
0.0310185397494,0.0421113824087,44.33125,0.02216
0.0519826182455,0.0590192739235,44.44104,0.01539
0.0262401409862,0.0253433243615,44.33125,0.02216
0.0971406314701,0.102652280144,44.44104,0.01539
0.04524613569,0.0603641408975,44.88637,0.11872
0.0266275870507,0.023201453265,44.30239,0.05533
0.173716175013,0.165606727,44.22117,0.12941
0.0688205606614,0.0877106085344,44.76188,0.11883
0.0621928809536,0.0468984786759,45.09383,0.02369
0.0206362538466,0.0133000139594,44.44021,0.05336
0.122797494941,0.167878056536,44.54921,0.06313
0.0281197042149,0.031794292911,44.65970,0.01427
0.0211819087236,0.0344239733802,44.79900,0.00287
0.0420169433011,0.033024776279,44.18964,0.16066
0.0193049070504,0.0232547325195,44.25669,0.01856
,,44.35819,0.03576
,,44.91202,0.08730
,,45.05713,0.05654
,,44.56043,0.21451
,,44.78145,0.09942
,,44.77507,0.07369
,,44.36424,0.00708
,,44.17580,0.04911
,,44.40151,0.00523
,,44.20654,0.02390
,,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
