A,B,C,D
0.00234570489796,0.00340148858321,45.32733,0.31478
0.0206438215298,0.0347434139818,44.51848,0.07224
0.14180534825,0.20698788565,44.32612,0.01430
0.00427672062573,0.00609030379794,44.69770,0.00526
0.00504509661386,0.0051097399854,44.30242,0.01505
0.101042759556,0.151480083274,44.83574,0.05485
0.00724984931508,0.0125294538819,44.57033,0.17767
0.00792361228152,0.0130752296155,44.30397,0.01228
0.0166554103248,0.0126166774129,44.43193,0.06483
0.00474957350143,0.0047103969396,44.75459,0.12151
0.00961237579193,0.0135488326665,44.69916,0.00716
0.00482687551559,0.0119054901093,44.88584,0.00441
0.0149179687472,0.0282943518786,44.43886,0.04585
0.020458923579,0.0295349833623,44.10607,0.01557
0.0111711141209,0.0185466377319,44.28278,0.01757
0.0144203279344,0.0186712516313,45.03406,0.09969
0.00410351101571,0.00544482232925,44.28599,0.01597
0.0124785191281,0.0218376030433,44.51935,0.04301
0.0486271135363,0.0645469002581,44.25256,0.10655
0.00267782542512,0.00466704769054,44.13888,0.00574
0.00810920000042,0.0080005616299,44.97359,0.00946
0.0154451562877,0.0223626816065,44.90593,0.06272
0.0123195072011,0.0166537664213,45.67979,0.04363
0.00306950768986,0.00954452421219,44.45743,0.15649
0.01389324536,0.0235407862816,44.54183,0.15627
0.01389324536,0.0235407862816,44.59501,0.01820
0.0067989162649,0.0145450187629,44.69004,0.12009
0.00985549778561,0.0122451398371,44.78482,0.06524
0.0123321880302,0.0184991031633,45.22008,0.00226
0.0108646186755,0.0112549502053,44.67030,0.03193
0.005443880102,0.00737228713373,44.23784,0.03453
0.00209426220007,0.00369866650635,44.59427,0.01393
0.0105132729265,0.0142615838502,44.80879,0.10226
0.00891620170742,0.0138241856193,44.75154,0.03959
0.00421117256215,0.00530777269732,44.08426,0.00873
0.00922962128583,0.0140978050954,44.34647,0.03277
0.00736440937058,0.0130012995809,44.41080,0.01227
0.00656974071119,0.0110424623927,44.44258,0.00593
0.0110424623927,0.00470228597818,44.48394,0.15534
0.0159301551974,0.0287108768127,45.03598,0.02793
0.0198125901101,0.0262051707711,44.61065,0.02132
0.016909853018,0.0201336586317,44.70652,0.13905
0.00248307016921,0.00377037551894,44.83296,0.01951
0.0216847034873,0.0300628127239,44.32271,0.06382
0.052733360692,0.076073955769,44.84746,0.00146
0.0151205505313,0.0184345802766,44.66365,0.03441
0.0350755283898,0.0500418170039,44.76287,0.06689
0.0106660658785,0.0169281317371,45.10199,0.00391
0.0220449881074,0.0293037529495,44.64622,0.00626
0.00796956098338,0.00846926015846,44.87745,0.06418
0.0381754079155,0.0576608524703,44.09679,0.00879
0.0111906442682,0.0135380308939,44.27269,0.00944
0.0471249279419,0.0710708454298,44.44430,0.08075
0.0205210969828,0.0303220225897,44.93558,0.01528
0.0235734013091,0.0313758167159,44.09816,0.00921
0.0357504397459,0.0296347456097,44.33125,0.02216
0.111835458487,0.14293370165,44.44104,0.01539
0.0163684305089,0.0226232002653,44.33125,0.02216
0.00349116833872,0.00625411903495,44.44104,0.01539
0.0205791203833,0.0303586632131,44.88637,0.11872
0.00399011141866,0.00582835693576,44.30239,0.05533
0.0118995452472,0.0185665968515,44.22117,0.12941
0.00442299983384,0.00555206725313,44.76188,0.11883
0.00813596110105,0.00906340745115,45.09383,0.02369
0.00336943722872,0.00361695246004,44.44021,0.05336
0.00932740683244,0.0139112951396,44.54921,0.06313
0.0327600052131,0.0444409872913,44.65970,0.01427
0.0209828434352,0.0313085707056,44.79900,0.00287
0.0109295573302,0.0125126817654,44.18964,0.16066
0.0333672608243,0.0406538962524,44.25669,0.01856
0.0181403720987,0.0239861818754,44.35819,0.03576
0.0150186801558,0.0249560082619,44.91202,0.08730
0.0424605856318,0.0589725682049,45.05713,0.05654
0.0262358406527,0.0313049591624,44.56043,0.21451
0.00256090505445,0.0044761004864,44.78145,0.09942
0.00873210448539,0.00597829111792,44.77507,0.07369
0.0921463100927,0.11866240439,44.36424,0.00708
0.0192754147168,0.0206491798707,44.17580,0.04911
 0.0252934771338,0.0298445749903,44.40151,0.00523
0.0240454234713,0.0244066891064,44.20654,0.02390
0.00097578482492,0.0036824805765,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
