A,B,C,D
154.399354779,1.82977971978,45.32733,0.31478
150.212161079,2.29855129533,44.51848,0.07224
109.16860392,1.64157030372,44.32612,0.01430
117.03844569,1.66191521809,44.69770,0.00526
131.885923823,1.70273827672,44.30242,0.01505
94.4468180006,1.60018704846,44.83574,0.05485
102.201247441,1.72138012083,44.57033,0.17767
133.644247703,1.61954232393,44.30397,0.01228
122.880141986,2.85362797907,44.43193,0.06483
125.49359891,2.30501450419,44.75459,0.12151
115.575280015,3.12088954362,44.69916,0.00716
96.1240721962,1.88145207324,44.88584,0.00441
127.602538386,1.87168137906,44.43886,0.04585
109.954746892,1.79596738577,44.10607,0.01557
152.709658002,3.19629506858,44.28278,0.01757
132.538366472,2.13347433475,45.03406,0.09969
104.92043409,2.0252470025,44.28599,0.01597
166.146616486,1.94812653077,44.51935,0.04301
137.986398031,1.57030883685,44.25256,0.10655
116.624728616,1.63236856582,44.13888,0.00574
164.310608871,1.9204221209,44.97359,0.00946
129.123536368,1.77676824872,44.90593,0.06272
106.599550386,1.95637423508,45.67979,0.04363
132.337080925,1.9411936748,44.45743,0.15649
125.136068793,1.86231483525,44.54183,0.15627
140.673804739,1.74120079914,44.59501,0.01820
109.218394905,1.65111777369,44.69004,0.12009
142.991843459,2.40695528686,44.78482,0.06524
108.754940935,1.68020588992,45.22008,0.00226
147.972350933,1.660855373,44.67030,0.03193
121.084781644,1.65920737324,44.23784,0.03453
148.529707334,1.70531333463,44.59427,0.01393
158.854119973,1.71628660428,44.80879,0.10226
127.670153542,1.75000467355,44.75154,0.03959
108.112994363,2.06052395006,44.08426,0.00873
179.607859719,1.74032723318,44.34647,0.03277
114.334612478,1.94507667925,44.41080,0.01227
105.300263104,1.7225046495,44.44258,0.00593
149.95463012,2.07063516013,44.48394,0.15534
132.296113499,1.82677743157,45.03598,0.02793
160.43909008,1.54279970779,44.61065,0.02132
119.43447611,1.74603045845,44.70652,0.13905
108.271261666,1.57994351014,44.83296,0.01951
139.675007549,1.64566914688,44.32271,0.06382
150.164233683,1.78145343004,44.84746,0.00146
119.527432297,1.75250599992,44.66365,0.03441
129.45142719,1.71657514496,44.76287,0.06689
128.180931522,2.70039686707,45.10199,0.00391
118.879130313,1.51737900984,44.64622,0.00626
165.788756899,1.75536287859,44.87745,0.06418
142.610883415,1.69130378288,44.09679,0.00879
306.959601695,2.2246118372,44.27269,0.00944
111.242193065,2.45834260606,44.44430,0.08075
158.278091119,1.56155666235,44.93558,0.01528
110.405206088,3.15636196965,44.09816,0.00921
117.326510706,2.29980482614,44.33125,0.02216
145.675396449,1.62865639651,44.44104,0.01539
103.608234505,1.80606967491,44.33125,0.02216
95.8545826767,2.1374581855,44.44104,0.01539
106.811777563,2.43232670276,44.88637,0.11872
151.843720588,1.99932209468,44.30239,0.05533
101.706020108,2.07487372068,44.22117,0.12941
115.051335748,1.75254824573,44.76188,0.11883
118.638810117,1.71297296265,45.09383,0.02369
144.766432299,1.91585963786,44.44021,0.05336
151.831031846,1.70679199186,44.54921,0.06313
279.736000079,1.9613224687,44.65970,0.01427
120.083330839,1.70978923929,44.79900,0.00287
114.219733005,114.219733005,44.18964,0.16066
118.094154784,1.61683952412,44.25669,0.01856
117.118201473,1.71299520056,44.35819,0.03576
72.1583967613,2.36341156866,44.91202,0.08730
120.250194795,1.54464725425,45.05713,0.05654
105.04606048,2.54992277984,44.56043,0.21451
116.978320652,1.64225136622,44.78145,0.09942
90.275393654,1.70286724557,44.77507,0.07369
110.590782996,1.75306031262,44.36424,0.00708
101.190162643,1.86306479474,44.17580,0.04911
109.244385631,2.11886492427,44.40151,0.00523
71.1702265972,2.3070906438,44.20654,0.02390
158.449948662,1.78212874413,44.59746,0.00671
137.917820127,1.54720611234,44.17015,0.06091
106.39387779,2.39875040038,44.31297,0.01773
119.673019795,2.1254036496,44.52867,0.01500
,,44.68251,0.01940
