A,B,C,D
141.824068915,3.04049654093,45.32733,0.31478
151.780280831,2.57459144247,44.51848,0.07224
92.6146599874,1.64189105391,44.32612,0.01430
110.824485425,2.39495279961,44.69770,0.00526
112.537535475,2.83336884595,44.30242,0.01505
82.6536216174,1.61335301303,44.83574,0.05485
90.3900986776,1.86814391883,44.57033,0.17767
115.311502957,2.15309424862,44.30397,0.01228
120.670277704,2.9457682354,44.43193,0.06483
128.871745744,2.02260417871,44.75459,0.12151
133.232825294,3.0913725272,44.69916,0.00716
105.613103809,2.95366966168,44.88584,0.00441
119.352667488,1.60415472159,44.43886,0.04585
105.764053269,1.92724850887,44.10607,0.01557
137.818424572,2.19714193957,44.28278,0.01757
127.747533166,1.83914588841,45.03406,0.09969
94.4952133031,2.87186362529,44.28599,0.01597
163.973034104,1.56627670396,44.51935,0.04301
107.659455238,1.52580050274,44.25256,0.10655
106.402032356,1.66293612934,44.13888,0.00574
191.654030711,1.66908318041,44.97359,0.00946
122.684015571,1.93819920001,44.90593,0.06272
79.6808134385,2.35158228291,45.67979,0.04363
113.158142093,2.41531769618,44.45743,0.15649
124.083039063,1.58319904209,44.54183,0.15627
103.324195767,2.84989504094,44.59501,0.01820
93.0814581203,1.65242090797,44.69004,0.12009
142.991843459,2.40695528686,44.78482,0.06524
119.52573807,3.34389441551,45.22008,0.00226
127.089446451,1.92286312382,44.67030,0.03193
114.236083137,3.04772803094,44.23784,0.03453
130.414648061,1.60112018283,44.59427,0.01393
158.669322496,1.73263067964,44.80879,0.10226
119.799947351,1.57656340103,44.75154,0.03959
100.223296457,3.07292006231,44.08426,0.00873
163.474968388,1.99181904999,44.34647,0.03277
105.780301771,2.63057724479,44.41080,0.01227
96.1410301619,1.89606026514,44.44258,0.00593
115.708116109,2.63504141462,44.48394,0.15534
114.448466236,1.59826552144,45.03598,0.02793
147.676885812,2.34053781645,44.61065,0.02132
110.270267168,1.66056794975,44.70652,0.13905
95.7004521329,2.00128401504,44.83296,0.01951
125.946150056,1.62080743583,44.32271,0.06382
131.956183373,1.65759089005,44.84746,0.00146
114.847625119,1.5002349743,44.66365,0.03441
118.982831208,1.93420382893,44.76287,0.06689
127.313709356,1.96640262865,45.10199,0.00391
107.139994637,1.54606642104,44.64622,0.00626
159.235245859,1.83876875317,44.87745,0.06418
125.963944853,1.66743403542,44.09679,0.00879
325.682353962,2.22319122972,44.27269,0.00944
109.216010684,2.1073115731,44.44430,0.08075
144.245696712,1.61711429805,44.93558,0.01528
128.700878316,3.06703622296,44.09816,0.00921
116.350057787,2.30296822985,44.33125,0.02216
131.888559835,2.10132271024,44.44104,0.01539
114.424177945,2.72468172394,44.33125,0.02216
114.137993732,1.71283716935,44.44104,0.01539
103.098445644,1.85309499856,44.88637,0.11872
139.491236184,1.70976258731,44.30239,0.05533
103.800253519,1.90247115192,44.22117,0.12941
107.887504602,1.61912251218,44.76188,0.11883
115.073453781,1.8134913777,45.09383,0.02369
130.991654391,1.61026302518,44.44021,0.05336
139.909863081,1.88431957827,44.54921,0.06313
258.353909965,1.7157147366,44.65970,0.01427
106.595740807,2.16887895568,44.79900,0.00287
96.0485971941,2.43360817292,44.18964,0.16066
119.202722678,1.81316369666,44.25669,0.01856
103.00195261,1.82402660201,44.35819,0.03576
110.483401471,2.17519268256,44.91202,0.08730
76.9173599274,3.80618845972,45.05713,0.05654
99.5502639116,2.09875273522,44.56043,0.21451
117.632896015,1.78895666816,44.78145,0.09942
94.0190633796,1.67489456433,44.77507,0.07369
117.162653009,1.5564080843,44.36424,0.00708
95.3800941105,1.68862495461,44.17580,0.04911
94.6143262933,2.08421108089,44.40151,0.00523
79.8075016896,2.16890405764,44.20654,0.02390
144.270284897,2.26905325533,44.59746,0.00671
114.551376834,2.61918152273,44.17015,0.06091
109.263898204,1.8134845386,44.31297,0.01773
111.50977621,2.3504028973,44.52867,0.01500
,,44.68251,0.01940
