A,B,C,D
106.092217615,1.78934023697,45.32733,0.31478
114.110141926,1.73836393785,44.51848,0.07224
67.1157424766,1.65279534791,44.32612,0.01430
71.6722330187,1.58376219469,44.69770,0.00526
90.909547311,1.73903223062,44.30242,0.01505
38.1239400537,1.80862884603,44.83574,0.05485
41.8833005655,1.71412839469,44.57033,0.17767
82.6870479573,1.68201751084,44.30397,0.01228
85.5219771552,1.87950702776,44.43193,0.06483
114.461894701,2.20185601693,44.75459,0.12151
69.4326236976,1.67376627348,44.69916,0.00716
61.4131055867,1.96565093013,44.88584,0.00441
55.4930250011,1.67727844468,44.43886,0.04585
113.929572134,3.37754778221,44.10607,0.01557
47.9972537228,1.74622838825,44.28278,0.01757
65.13084136,1.8066523732,45.03406,0.09969
113.431623778,1.85529281107,44.28599,0.01597
64.8878193344,1.98786750355,44.51935,0.04301
64.1025136273,1.45333105548,44.25256,0.10655
93.7880915195,1.8701776852,44.13888,0.00574
78.8440222151,1.69249240249,44.97359,0.00946
57.3749111497, 1.55465317887,44.90593,0.06272
74.3495281115,1.6696358582,45.67979,0.04363
69.092579013,1.66828964888,44.45743,0.15649
71.4070876774,1.71643218375,44.54183,0.15627
82.3451320683,1.72094232394,44.59501,0.01820
93.5223543183,1.57933938938,44.69004,0.12009
74.8358867829,1.9451044938,44.78482,0.06524
100.546046277,1.86716853781,45.22008,0.00226
53.352733216,1.70288257097,44.67030,0.03193
75.5628775997,1.92967943533,44.23784,0.03453
114.678430385,1.70368046065,44.59427,0.01393
64.2410445385,2.17351344373,44.80879,0.10226
58.5346880785,1.71342446506,44.75154,0.03959
74.1909829096,1.77933383891,44.08426,0.00873
67.854540043,2.05781604736,44.34647,0.03277
115.239858869,1.69379949906,44.41080,0.01227
57.5721459676,1.81373131546,44.44258,0.00593
97.6116705402,1.70069437735,44.48394,0.15534
89.4879044422,1.71376951088,45.03598,0.02793
230.115877161,2.62946301964,44.61065,0.02132
109.463109626,1.44097974182,44.70652,0.13905
62.443745479,1.61034586592,44.83296,0.01951
77.6907944494,1.90499057604,44.32271,0.06382
95.3666599217,1.67223883168,44.84746,0.00146
52.9529492346,1.58354736338,44.66365,0.03441
50.845828775,1.59712587144,44.76287,0.06689
43.5808383886,1.86337505497,45.10199,0.00391
105.317998489,1.60340594057,44.64622,0.00626
44.0422969367,1.66400871538,44.87745,0.06418
77.1441873104,1.65444428777,44.09679,0.00879
99.2708722986,1.62582840808,44.27269,0.00944
88.910094016,1.64906069527,44.44430,0.08075
163.598557455,1.73896053231,44.93558,0.01528
58.1301438016,1.86643754005,44.09816,0.00921
65.8130403382,1.76897765926,44.33125,0.02216
26.8886038743,1.5238543296,44.44104,0.01539
50.6859008151,1.64890733167,44.33125,0.02216
74.5014105969,1.63721732408,44.44104,0.01539
57.0229220095,1.63631340174,44.88637,0.11872
54.7987174165,1.59780387993,44.30239,0.05533
84.1315964154,1.86996996976,44.22117,0.12941
59.4847603185,1.67162095932,44.76188,0.11883
78.6665710034,1.61318633324,45.09383,0.02369
49.8455203669,1.77136082143,44.44021,0.05336
87.5933725645,1.80247123319,44.54921,0.06313
52.6311674054,1.57296894803,44.65970,0.01427
107.43310055,1.8742772029,44.79900,0.00287
44.0774247414,1.46747068059,44.18964,0.16066
67.5957562621,1.5000051186,44.25669,0.01856
87.2277143907,1.71089924554,44.35819,0.03576
,,44.91202,0.08730
,,45.05713,0.05654
,,44.56043,0.21451
,,44.78145,0.09942
,,44.77507,0.07369
,,44.36424,0.00708
,,44.17580,0.04911
,,44.40151,0.00523
,,44.20654,0.02390
,,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
