A,B,C,D
137.892281261,1.68733969474,45.32733,0.31478
113.125077775,1.56125200039,44.51848,0.07224
54.439426722,1.58575810983,44.32612,0.01430
65.5670991375,1.57660201579,44.69770,0.00526
100.51363346,1.80287523293,44.30242,0.01505
55.1077943166,1.59752955408,44.83574,0.05485
58.256014566,1.52164507808,44.57033,0.17767
78.3196616005,1.57333027497,44.30397,0.01228
98.9927310704,1.83582170866,44.43193,0.06483
115.243242005,4.1225647142,44.75459,0.12151
95.6338371528,1.6227155221,44.69916,0.00716
61.5905216707,1.69966321546,44.88584,0.00441
69.1532994617,1.58450701137,44.43886,0.04585
48.8032223981,1.559463575,44.10607,0.01557
118.717210268,1.5647045039,44.28278,0.01757
76.505207695,1.91648972271,45.03406,0.09969
74.8451184065,1.65714167024,44.28599,0.01597
119.769265968,1.60993143342,44.51935,0.04301
55.4180079713,1.67752861046,44.25256,0.10655
72.1911134472,1.73293523868,44.13888,0.00574
145.332053433,4.05994820741,44.97359,0.00946
62.1153049999,1.96672498064,44.90593,0.06272
71.5749753947,1.4875647439,45.67979,0.04363
 69.3748437803,1.84135356649,44.45743,0.15649
12.1248537634,1.70323124989,44.54183,0.15627
66.4995663665,1.56303580282,44.59501,0.01820
110.468086319,1.62478207524,44.69004,0.12009
78.7000261908,2.04953708254,44.78482,0.06524
62.7696588985,1.73378524937,45.22008,0.00226
87.0233088102,1.55714805756,44.67030,0.03193
82.3594703137,1.58295410021,44.23784,0.03453
102.902357315,1.66269744723,44.59427,0.01393
79.1491046962,1.538557059,44.80879,0.10226
54.6850243077,2.10381929222,44.75154,0.03959
111.662575099,1.45779134991,44.08426,0.00873
76.0111215997,1.957853525,44.34647,0.03277
52.0071366377,1.65917843955,44.41080,0.01227
83.4411403466,1.8157125405,44.44258,0.00593
99.105383611,1.55039709422,44.48394,0.15534
106.255932539,2.13224137735,45.03598,0.02793
59.6783602532,1.7325659229,44.61065,0.02132
72.2080547176,1.47519423108,44.70652,0.13905
97.8211674245,1.59154332506,44.83296,0.01951
59.1533509428,1.60702398667,44.32271,0.06382
134.099304963,2.36826433428,44.84746,0.00146
55.6600154623,1.53622334412,44.66365,0.03441
100.659644711,1.69861142558,44.76287,0.06689
99.6157107185,1.69240266477,45.10199,0.00391
282.225265903,1.70559322042,44.64622,0.00626
120.142104175,1.6052452699,44.87745,0.06418
88.7141289059,1.67618640487,44.09679,0.00879
91.6930471254,1.5813579234,44.27269,0.00944
104.287969619,1.51553701041,44.44430,0.08075
67.2316410418,1.51523983043,44.93558,0.01528
58.8887055843,1.71336741702,44.09816,0.00921
86.7136049305,1.5447962516,44.33125,0.02216
106.992710496,1.5881027664,44.44104,0.01539
68.9302115483,1.5917767933,44.33125,0.02216
63.2503517654,1.5301983479,44.44104,0.01539
83.3622420637,1.58921476245,44.88637,0.11872
111.650328778,1.7934407288,44.30239,0.05533
76.9655180822,1.57666155166,44.22117,0.12941
206.893463754,1.51154937408,44.76188,0.11883
78.3509420887,1.72038407875,45.09383,0.02369
79.9719786504,1.48613997155,44.44021,0.05336
89.7746871417,1.57082948829,44.54921,0.06313
56.8560546088,1.61330753487,44.65970,0.01427
67.9785918856,2.35148177254,44.79900,0.00287
57.4701995168,1.6405857098,44.18964,0.16066
 63.9961046763,1.5703173142,44.25669,0.01856
81.4403776604,1.58988918772,44.35819,0.03576
57.3919622716,1.75637226024,44.91202,0.08730
67.0726038078,1.53532835037,45.05713,0.05654
57.6498642928,1.37613940167,44.56043,0.21451
101.685505133,1.70323025064,44.78145,0.09942
36.8626229408,1.72920719066,44.77507,0.07369
120.631784585,1.55743095034,44.36424,0.00708
108.378964508,1.52277324306,44.17580,0.04911
57.7352500899,1.64535674565,44.40151,0.00523
83.2567503558,1.38368234633,44.20654,0.02390
,,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
