A,B,C
1.13345738875,45.32733,0.31478
1.16052318765,44.51848,0.07224
1.06708345162,44.32612,0.01430
1.1672572262,44.69770,0.00526
1.14795918031,44.30242,0.01505
1.2940090706,44.83574,0.05485
1.62376648863,44.57033,0.17767
1.2778306553,44.30397,0.01228
1.1119743243,44.43193,0.06483
1.06381018063,44.75459,0.12151
1.13806407125,44.69916,0.00716
1.37160966651,44.88584,0.00441
0.981415400281,44.43886,0.04585
1.0246171503,44.10607,0.01557
0.968373406051,44.28278,0.01757
1.32811840799,45.03406,0.09969
1.229618093,44.28599,0.01597
1.28735907722,44.51935,0.04301
0.997682223615,44.25256,0.10655
1.29720771874,44.13888,0.00574
1.00573558227,44.97359,0.00946
1.12690159146,44.90593,0.06272
1.09473861417,45.67979,0.04363
1.44165846899,44.45743,0.15649
0.985915794672,44.54183,0.15627
1.12989940845,44.59501,0.01820
1.11131138065,44.69004,0.12009
1.16185783528,44.78482,0.06524
1.21852846141,45.22008,0.00226
1.12679912579,44.67030,0.03193
1.0546270742,44.23784,0.03453
1.10785408625,44.59427,0.01393
0.97472877882,44.80879,0.10226
1.10719646621,44.75154,0.03959
1.14793650707,44.08426,0.00873
0.909839281267,44.34647,0.03277
1.15996223133,44.41080,0.01227
1.18865065267,44.44258,0.00593
1.40206807511,44.48394,0.15534
1.22065532472,45.03598,0.02793
1.10241688045,44.61065,0.02132
1.10173060477,44.70652,0.13905
1.32393935684,44.83296,0.01951
1.33943900266,44.32271,0.06382
1.05160780638,44.84746,0.00146
1.36265985496,44.66365,0.03441
0.974800617833,44.76287,0.06689
1.15093350474,45.10199,0.00391
1.23736992651,44.64622,0.00626
1.30710215186,44.87745,0.06418
1.34345273727,44.09679,0.00879
1.29645115531,44.27269,0.00944
1.05885898211,44.44430,0.08075
1.13677048425,44.93558,0.01528
0.908401418727,44.09816,0.00921
1.15062890458,44.33125,0.02216
1.13582456621,44.44104,0.01539
1.33723138949,44.33125,0.02216
1.04333698531,44.44104,0.01539
1.29848306969,44.88637,0.11872
1.50178519214,44.30239,0.05533
1.26421674412,44.22117,0.12941
1.12139701725,44.76188,0.11883
1.25409781583,45.09383,0.02369
1.3858887941,44.44021,0.05336
0.975498953288,44.54921,0.06313
1.19949226184,44.65970,0.01427
1.22875135867,44.79900,0.00287
1.31004723633,44.18964,0.16066
1.27687774018,44.25669,0.01856
1.1579840566,44.35819,0.03576
1.25584937721,44.91202,0.08730
1.69277692418,45.05713,0.05654
1.39348133971,44.56043,0.21451
1.17312881676,44.78145,0.09942
1.2867679508,44.77507,0.07369
1.1149761799,44.36424,0.00708
1.2390876376,44.17580,0.04911
1.23997634255,44.40151,0.00523
1.50939034106,44.20654,0.02390
1.31635831744,44.59746,0.00671
1.28875587569,44.17015,0.06091
0.968653530765,44.31297,0.01773
1.07768391547,44.52867,0.01500
,44.68251,0.01940
