A,B,C
1.12866523022,45.32733,0.31478
0.928673738472,44.51848,0.07224
1.12835548627,44.32612,0.01430
1.29158043963,44.69770,0.00526
0.993959814838,44.30242,0.01505
1.24845742225,44.83574,0.05485
1.29594796902,44.57033,0.17767
1.22100739278,44.30397,0.01228
1.11023864794,44.43193,0.06483
1.33194931132,44.75459,0.12151
1.1594099498,44.69916,0.00716
1.0937785169,44.88584,0.00441
1.08782048375,44.43886,0.04585
1.26499572001,44.10607,0.01557
1.00895043947,44.28278,0.01757
1.14121133635,45.03406,0.09969
1.16943901465,44.28599,0.01597
1.17662985288,44.51935,0.04301
1.18910319939,44.25256,0.10655
1.1262447864,44.13888,0.00574
1.17780592803,44.97359,0.00946
1.34242709176,44.90593,0.06272
1.06983321607,45.67979,0.04363
1.96211749034,44.45743,0.15649
0.976220921667,44.54183,0.15627
1.59759428007,44.59501,0.01820
1.16018306453,44.69004,0.12009
1.3213202511,44.78482,0.06524
1.09149226702,45.22008,0.00226
1.11412580137,44.67030,0.03193
1.09574089057,44.23784,0.03453
0.938317239344,44.59427,0.01393
1.30423757635,44.80879,0.10226
1.23957468149,44.75154,0.03959
1.07622393342,44.08426,0.00873
1.11115597729,44.34647,0.03277
1.306288689,44.41080,0.01227
1.00841393741,44.44258,0.00593
1.26681225857,44.48394,0.15534
1.00804719016,45.03598,0.02793
1.10357386,44.61065,0.02132
1.1489178586,44.70652,0.13905
1.20784854575,44.83296,0.01951
1.05906104277,44.32271,0.06382
1.06528808362,44.84746,0.00146
1.13924246185,44.66365,0.03441
0.955395505252,44.76287,0.06689
1.31562783817,45.10199,0.00391
0.874351094626,44.64622,0.00626
0.988731671124,44.87745,0.06418
1.13024094886,44.09679,0.00879
1.2422931797,44.27269,0.00944
0.994617882006,44.44430,0.08075
1.03341029903,44.93558,0.01528
0.919749316974,44.09816,0.00921
1.09934163531,44.33125,0.02216
1.25570749915,44.44104,0.01539
0.998567756096,44.33125,0.02216
1.13093229008,44.44104,0.01539
1.11406249392,44.88637,0.11872
1.09678917217,44.30239,0.05533
1.01699258459,44.22117,0.12941
1.2697492739,44.76188,0.11883
1.16189246042,45.09383,0.02369
1.06221649507,44.44021,0.05336
1.12240840348,44.54921,0.06313
1.19260902178,44.65970,0.01427
1.17729438555,44.79900,0.00287
1.13133355637,44.18964,0.16066
1.08786433149,44.25669,0.01856
1.06003245409,44.35819,0.03576
0.951157588676,44.91202,0.08730
1.14375004984,45.05713,0.05654
1.36569455573,44.56043,0.21451
1.11357478542,44.78145,0.09942
1.19540474932,44.77507,0.07369
1.07226458657,44.36424,0.00708
1.02713490008,44.17580,0.04911
1.10392566291,44.40151,0.00523
,44.20654,0.02390
,44.59746,0.00671
,44.17015,0.06091
,44.31297,0.01773
,44.52867,0.01500
,44.68251,0.01940
