A,B,C,D
0.0206954110132,0.179094379649,45.32733,0.31478
0.011340595454,0.277104396005,44.51848,0.07224
4.67528283702e-05,0.00665972523009,44.32612,0.01430
3.30648898629e-05,0.0204017560738,44.69770,0.00526
3.93595730331e-30,0.210971213479,44.30242,0.01505
3.88282630693e-05,0.000767768849392,44.83574,0.05485
0.000131123843885,0.199589198156,44.57033,0.17767
6.25613683721e-05,0.00201615190137,44.30397,0.01228
0.0390724399868,0.283571151899,44.43193,0.06483
0.0246227312706,1.10423151056,44.75459,0.12151
0.0988809348774,0.168145233327,44.69916,0.00716
0.000257289978753,0.147434435707,44.88584,0.00441
4.45445023901e-05,0.119743481595,44.43886,0.04585
0.00142644124368,0.160932610737,44.10607,0.01557
0.0305414592448,0.336712506059,44.28278,0.01757
0.0015968869065,0.189111974484,45.03406,0.09969
0.0316973591063,0.307179490639,44.28599,0.01597
4.91167123712e-05,0.0474639477655,44.51935,0.04301
2.75298370918e-05,0.0666275631411,44.25256,0.10655
4.29713007715e-05,0.0233503971697,44.13888,0.00574
2.2014169838e-05,0.000747649636678,44.97359,0.00946
1.16358970183e-05,0.0370321042869,44.90593,0.06272
2.72665318295e-25,0.0836501805312,45.67979,0.04363
0.000452389792835,0.0912262477106,44.45743,0.15649
0.000316797653741,0.0930838675132,44.54183,0.15627
1.75140147391e-26,0.0493218599528,44.59501,0.01820
5.22103500543e-05,0.146278056844,44.69004,0.12009
0.0321375539925,0.20738018126,44.78482,0.06524
0.0048606472337,0.326680475881,45.22008,0.00226
0.000756022367237,0.169525824375,44.67030,0.03193
6.58108360348e-43,0.350990925408,44.23784,0.03453
4.82196810892e-05,0.052662079707,44.59427,0.01393
2.9659775715e-06,0.0236769682994,44.80879,0.10226
7.05486504882e-05,0.0761192762346,44.75154,0.03959
4.90476721871e-20,0.0203518971138,44.08426,0.00873
0.000191837581438,0.0255344438291,44.34647,0.03277
0.00140592898666,0.0394191705,44.41080,0.01227
0.000318205273746,0.0298738574455,44.44258,0.00593
1.00458692572e-23,0.0990672792922,44.48394,0.15534
2.31262828383e-05,0.0150143523268,45.03598,0.02793
0.000131710644728,0.0732658577306,44.61065,0.02132
0.000116581614985,0.119762990239,44.70652,0.13905
1.91888206496e-05,0.022542379797,44.83296,0.01951
9.94965221943e-05,0.00870698226728,44.32271,0.06382
2.03269172061e-05,0.0400765106093,44.84746,0.00146
0.00373974611153,0.0470804546693,44.66365,0.03441
,,44.76287,0.06689
2.98806962675e-05,0.176640288143,45.10199,0.00391
3.32533768341e-05,0.0507564571342,44.64622,0.00626
 1.88823145861e-05,0.0454671614259,44.87745,0.06418
,,44.09679,0.00879
0.0282929913924,0.0411005111391,44.27269,0.00944
4.2797805084e-05,0.0300825279078,44.44430,0.08075
0.0181978485038,0.254512884396,44.93558,0.01528
0.0111909557218,0.493437088435,44.09816,0.00921
0.000707565154714,0.261584635232,44.33125,0.02216
4.52467194815e-05,0.0444906173211,44.44104,0.01539
0.00494280054621,0.282677047117,44.33125,0.02216
0.00305250243543,0.236876039385,44.44104,0.01539
8.98629984011e-05,0.0761805450626,44.88637,0.11872
0.0010289194008,0.205176042837,44.30239,0.05533
2.65444419268e-05,0.0227046115372,44.22117,0.12941
0.00119959865715,0.128398650696,44.76188,0.11883
0.0001776642384,0.123897800419,45.09383,0.02369
3.15249532586e-05,0.0437643723836,44.44021,0.05336
0.000505723213754,0.174930918023,44.54921,0.06313
2.19349780683e-28,0.319889046258,44.65970,0.01427
0.0364072982934,0.426929143731,44.79900,0.00287
0.000141857344951,0.0676956913174,44.18964,0.16066
8.30114794711e-05,0.0219871797608,44.25669,0.01856
0.0133617396855,0.327600362217,44.35819,0.03576
6.18956304688e-05,0.0108356051512,44.91202,0.08730
0.00768312277818,0.361246429752,45.05713,0.05654
0.000213030882021,0.018606902366,44.56043,0.21451
6.63833561982e-05,0.0476356158946,44.78145,0.09942
4.5012831822e-05,0.0340942460829,44.77507,0.07369
0.0010377745752,0.205153557228,44.36424,0.00708
2.11766895849e-12,0.463506380382,44.17580,0.04911
0.000336062361655,0.207576522302,44.40151,0.00523
0.00027229209974,0.100483375527,44.20654,0.02390
0.0198448350914,0.286694737204,44.59746,0.00671
0.00648540308411,0.38457468741,44.17015,0.06091
0.014508764919,0.1692012046,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
