A,B,C,D
6.49725796337e-05,0.00370712562636,45.32733,0.31478
0.00384668506534,0.25323547423,44.51848,0.07224
1.90244151591e-05,0.00363367818444,44.32612,0.01430
1.46565917582e-05,0.0120977565119,44.69770,0.00526
1.95916510827e-05,0.0061837933871,44.30242,0.01505
0.000285524572728,0.0442144157321,44.83574,0.05485
0.000837548999166,0.799201193072,44.57033,0.17767
0.00142789214727,0.0540429444559,44.30397,0.01228
0.00193219004926,0.266114322715,44.43193,0.06483
0.00217860696119,0.368536470238,44.75459,0.12151
2.32744079022e-05,0.135987974824,44.69916,0.00716
4.56567293395e-06,0.0071073562658,44.88584,0.00441
9.23696260625e-05,0.196196677699,44.43886,0.04585
0.0303799984195,0.569091143092,44.10607,0.01557
0.000106653040178,0.19427261718,44.28278,0.01757
0.000248237731876,0.415535829355,45.03406,0.09969
0.00015401398495,0.206434202602,44.28599,0.01597
0.000769202764432,0.374508337025,44.51935,0.04301
2.7122507704e-05,0.0192471237004,44.25256,0.10655
5.17719644029e-06,0.0644215094659,44.13888,0.00574
9.95174578578e-05,0.111789471128,44.97359,0.00946
6.45578008834e-08,0.143307126282,44.90593,0.06272
0.0012371602294,0.243944516252,45.67979,0.04363
0.000137575590115,0.229583430369,44.45743,0.15649
0.00160845751386,0.32233381357,44.54183,0.15627
0.000634027835286,0.264675618528,44.59501,0.01820
8.5228740382e-05,0.0841747751068,44.69004,0.12009
4.79694968918e-05,0.238310733815,44.78482,0.06524
0.000358662272349,0.0935011135505,45.22008,0.00226
4.75631976052e-05,0.044674530427,44.67030,0.03193
8.80875473273e-05,0.161417334729,44.23784,0.03453
7.40430290483e-05,0.0393166508317,44.59427,0.01393
8.35898312527e-05,0.0887198048586,44.80879,0.10226
0.000393005065056,0.313196824241,44.75154,0.03959
0.000432420453922,0.0599897511993,44.08426,0.00873
0.000905654074845,0.0618063688271,44.34647,0.03277
0.000106509988531,0.00178296477351,44.41080,0.01227
0.00862490121859,0.69307137434,44.44258,0.00593
4.82090642851e-05,0.0669029896838,44.48394,0.15534
0.000454056772407,0.233314096346,45.03598,0.02793
2.06244696528e-11,0.22767871136,44.61065,0.02132
1.56828961992e-05,0.00692730295312,44.70652,0.13905
0.000250908942762,0.200567001015,44.83296,0.01951
0.0179894290283,0.442071987693,44.32271,0.06382
0.000488940037315,0.129277454437,44.84746,0.00146
0.000850945161441,0.375767973585,44.66365,0.03441
0.00010625633611,0.385286989916,44.76287,0.06689
0.00314409075363,0.474179071623,45.10199,0.00391
0.000392595909408,0.135559250171,44.64622,0.00626
0.00152913270517,0.477881260427,44.87745,0.06418
0.000151066218166,0.191706578967,44.09679,0.00879
0.000130086973338,0.172106975376,44.27269,0.00944
4.53456531278e-18,0.118160012136,44.44430,0.08075
0.00187944261981,0.294724237649,44.93558,0.01528
1.53245419866e-05,0.0398164708396,44.09816,0.00921
0.00658842679,0.326044431722,44.33125,0.02216
0.000448488695549,1.38651909624,44.44104,0.01539
,,44.33125,0.02216
0.000163852069018,0.205258552847,44.44104,0.01539
1.74110607457e-05,0.108552336701,44.88637,0.11872
0.000160899957324,0.176639860847,44.30239,0.05533
7.46301730976e-05,0.0285287277556,44.22117,0.12941
0.001258294186,0.335849815606,44.76188,0.11883
0.000128878896255,0.0387868927566,45.09383,0.02369
0.00213442930034,0.695898648775,44.44021,0.05336
0.00439474030845,0.0777863414762,44.54921,0.06313
0.000130902008751,0.234076823195,44.65970,0.01427
0.000144920820451,0.0173974166874,44.79900,0.00287
0.000138178932672,0.342241871762,44.18964,0.16066
0.000846385707196,0.275068965601,44.25669,0.01856
0.000132672469016,0.105473655376,44.35819,0.03576
,,44.91202,0.08730
,,45.05713,0.05654
,,44.56043,0.21451
,,44.78145,0.09942
,,44.77507,0.07369
,,44.36424,0.00708
,,44.17580,0.04911
,,44.40151,0.00523
,,44.20654,0.02390
,,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
